"","Year","NZ Litres (million) (*)","On road - min fuel estimate","On road - max fuel estimate","Km (million)","Light passenger","Light commercial","Heavy fleet"
"1",2001,2867.25404580682,2703.53383979125,2732.4931056539,28672.105564,6.84676161935,1.43163139289,2.38191803932
"2",2002,2965.37466929458,2796.05177567786,2826.00205983774,29467.008959,7.14638539592,1.49156740104,2.56194101136
"3",2003,3056.11222872281,2881.60822046274,2912.47495397284,30096.846163,7.45626855178,1.51868639803,2.62596462056
"4",2004,3166.000241236,2985.22162746143,3017.19822989791,30576.894181,7.75125650748,1.51691818616,2.63975503029
"5",2005,3096.04590165915,2919.26168067442,2950.53174428117,30565.610312,7.62313289749,1.57304850431,2.84396556643
"6",2006,3120.35634218654,2942.18399504769,2973.69959410378,30273.367138,7.71395602053,1.61227286519,2.90335399201
"7",2007,3176.84807517573,2995.4500500832,3027.53621564247,30549.801184,7.86261652106,1.67161570921,2.99233139922
"8",2008,3125.31646791416,2946.86089759626,2978.4265939222,29874.508715,7.75394247895,1.72248193541,3.0593292203
"9",2009,3082.1562610601,2906.16513855356,2937.29491679027,29922.525383,7.68391134952,1.73444016214,2.97456555114
"10",2010,3101.17117771732,2924.09430346966,2955.41613236461,29823.519177,7.75194923339,1.79319219507,3.09260707767
"11",2011,3050.99541739904,2876.78357906555,2907.59863278128,29333.604207,7.62630917867,1.83126569439,3.18052291776
"12",2012,2984.63465132429,2814.21201273367,2844.35682271205,29225.071712,7.49392938505,1.85316831236,3.19122947753
"13",2013,2973.66992163781,2803.87336911229,2833.90743532083,29390.164082,7.46274582078,1.91720510819,3.26203240825
"14",2014,2972.18519823563,2802.47342341637,2832.49249391855,29850.896185,7.47404734296,1.97780758539,3.31849619665
"15",2015,3060.35629650693,2885.60995197639,2916.51955057111,30803.956722,7.69433214887,2.12016870342,3.42413874372
"16",2016,3123.60726960956,2945.24929451486,2976.79772793791,32114.416836,7.85708184978,2.23851258215,3.46945281828
