"","Year","variable","value"
"1",2001,"Light_passenger_emission",6.84676161935
"2",2002,"Light_passenger_emission",7.14638539592
"3",2003,"Light_passenger_emission",7.45626855178
"4",2004,"Light_passenger_emission",7.75125650748
"5",2005,"Light_passenger_emission",7.62313289749
"6",2006,"Light_passenger_emission",7.71395602053
"7",2007,"Light_passenger_emission",7.86261652106
"8",2008,"Light_passenger_emission",7.75394247895
"9",2009,"Light_passenger_emission",7.68391134952
"10",2010,"Light_passenger_emission",7.75194923339
"11",2011,"Light_passenger_emission",7.62630917867
"12",2012,"Light_passenger_emission",7.49392938505
"13",2013,"Light_passenger_emission",7.46274582078
"14",2014,"Light_passenger_emission",7.47404734296
"15",2015,"Light_passenger_emission",7.69433214887
"16",2016,"Light_passenger_emission",7.85708184978
"17",2001,"Light_commercial_emission",1.43163139289
"18",2002,"Light_commercial_emission",1.49156740104
"19",2003,"Light_commercial_emission",1.51868639803
"20",2004,"Light_commercial_emission",1.51691818616
"21",2005,"Light_commercial_emission",1.57304850431
"22",2006,"Light_commercial_emission",1.61227286519
"23",2007,"Light_commercial_emission",1.67161570921
"24",2008,"Light_commercial_emission",1.72248193541
"25",2009,"Light_commercial_emission",1.73444016214
"26",2010,"Light_commercial_emission",1.79319219507
"27",2011,"Light_commercial_emission",1.83126569439
"28",2012,"Light_commercial_emission",1.85316831236
"29",2013,"Light_commercial_emission",1.91720510819
"30",2014,"Light_commercial_emission",1.97780758539
"31",2015,"Light_commercial_emission",2.12016870342
"32",2016,"Light_commercial_emission",2.23851258215
"33",2001,"Heavy_fleet_emission",2.38191803932
"34",2002,"Heavy_fleet_emission",2.56194101136
"35",2003,"Heavy_fleet_emission",2.62596462056
"36",2004,"Heavy_fleet_emission",2.63975503029
"37",2005,"Heavy_fleet_emission",2.84396556643
"38",2006,"Heavy_fleet_emission",2.90335399201
"39",2007,"Heavy_fleet_emission",2.99233139922
"40",2008,"Heavy_fleet_emission",3.0593292203
"41",2009,"Heavy_fleet_emission",2.97456555114
"42",2010,"Heavy_fleet_emission",3.09260707767
"43",2011,"Heavy_fleet_emission",3.18052291776
"44",2012,"Heavy_fleet_emission",3.19122947753
"45",2013,"Heavy_fleet_emission",3.26203240825
"46",2014,"Heavy_fleet_emission",3.31849619665
"47",2015,"Heavy_fleet_emission",3.42413874372
"48",2016,"Heavy_fleet_emission",3.46945281828
