Quarter,Average_petrol_price_cpl,Average_barrel_price_USD,Average_tax,Index_number,Inflation_adjusted_price,Inflation_adjusted_barrel,Inflation_adjusted_tax,Average_NZD_USD_exchange_rate,Average_barrel_price_NZD,Average_crude_price_cpl_NZD
2006Q2,167.7846154,64.77307692,67.03076923,815.6606852,167.7846154,64.77307692,67.03076923,0.624085246,103.7888291,65.27599314
2006Q3,166.0615385,65.87076923,66.82307692,821.37031,164.9071881,65.41287908,66.35856695,0.634773846,103.7704525,65.26443551
2006Q4,140.9230769,57.23461538,64.01538462,819.7389886,140.2219671,56.94986606,63.69690012,0.673037097,85.03931753,53.48384751
2007Q1,142.3076923,55.47153846,64.18461538,823.817292,140.8987053,54.92231531,63.54912415,0.695912903,79.71046119,50.13236553
2007Q2,153.8230769,64.67153846,66.09230769,831.9738989,150.8069382,63.40346908,64.79638009,0.740844262,87.29437718,54.90212401
2007Q3,156.6,70.02538462,67.91538462,836.0522023,152.7804878,68.31744841,66.25891182,0.744393846,94.07034324,59.16373789
2007Q4,165,83.27076923,68.87692308,845.8401305,159.1128255,80.29968104,66.41940509,0.76362381,109.0468477,68.58292306
2008Q1,171.6076923,90.94846154,69.60769231,851.5497553,164.3751842,87.11538462,66.67403478,0.789916667,115.1367801,72.41306924
2008Q2,193.7,116.5192308,72.05384615,865.4159869,182.5636192,109.8201987,67.91125934,0.77612381,150.129695,94.42119179
2008Q3,202.4692308,113.9876923,75.04615385,878.4665579,187.9937147,105.8381544,69.68073709,0.714136364,159.6161435,100.3875116
2008Q4,156.8769231,53.31153846,70,874.3882545,146.3404133,49.73091275,65.29850747,0.579350794,92.01944495,57.87386475
2009Q1,155.5076923,43.04692308,69.83076923,876.8352365,144.6583184,40.04364938,64.95885511,0.533086885,80.75029469,50.78634886
2009Q2,160.3769231,58.07769231,70.40769231,881.7292007,148.3597808,53.72589483,65.13200028,0.602941935,96.32385623,60.58104165
2009Q3,163.5230769,67.85538462,71.29230769,893.1484502,149.3361433,61.96838778,65.10713032,0.673378788,100.7685211,63.37642838
2009Q4,161.9230769,74.61,73.93846154,891.5171289,148.1455416,68.26166514,67.64726582,0.728473016,102.4197168,64.41491624
2010Q1,172.5432234,76.02076923,75.2999479,894.7797716,157.2864389,69.29878691,68.64170274,0.708866129,107.2427728,67.44828479
2010Q2,175.6749467,77.97692308,75.64843852,896.411093,159.849815,70.95261427,68.833884,0.701282258,111.1919233,69.93202726
2010Q3,173.2009571,74.01923077,75.37355079,906.1990212,155.8964511,66.62397009,67.84298002,0.71750303,103.1622553,64.88192155
2010Q4,184.6676132,83.95357143,83.00179426,927.406199,162.4165463,73.8377937,73.00069856,0.758112698,110.7402258,69.64794078
2011Q1,202.5285714,100.3358333,85.54577019,934.7471452,176.7265021,87.55308319,74.64726893,0.755232258,132.854274,83.55614716
2011Q2,211.6595943,111.1592308,86.73677316,943.7194127,182.9382837,96.07539393,74.96696039,0.799308065,139.0693222,87.46498252
2011Q3,203.8761177,107.1057143,85.72153709,947.7977162,175.4527691,92.17359233,73.77068596,0.832618182,128.6372513,80.90393163
2011Q4,205.4395704,106.4146154,85.92546571,944.5350734,177.4089554,91.89517737,74.20161115,0.77668871,137.0106377,86.17021237
2012Q1,210.4355875,116.1246154,86.57712011,949.4290375,180.7865872,99.76341529,74.37896917,0.818646774,141.8494753,89.21350649
2012Q2,210.8429262,106.2307692,86.63025124,952.6916803,180.5162039,90.95100106,74.16973565,0.790121311,134.4486824,84.55891972
2012Q3,209.1788103,106.3238462,87.79780804,955.1386623,178.6326305,90.79747751,74.97677886,0.808216923,131.5536004,82.73811347
2012Q4,207.235356,107.1723077,88.1596986,953.5073409,177.2757536,91.67862079,75.4146267,0.823207937,130.188623,81.8796371
2013Q1,210.4283803,108.1115385,88.57618004,957.5856444,179.2405284,92.0881929,75.44819424,0.834736667,129.5157416,81.45644129
2013Q2,205.1,100.7246154,87.88117391,959.2169657,174.4047619,85.65018316,74.72888939,0.822324194,122.4877198,77.03630175
2013Q3,216.6437171,106.3176923,92.38687615,968.1892333,182.5136623,89.56840127,77.83224613,0.797386364,133.3327194,83.85705625
2013Q4,209.0063545,106.8476923,91.39069842,969.004894,175.9312748,89.93913494,76.92819732,0.828307937,128.9951328,81.12901437
2014Q1,211.2954717,104.5723077,91.68927891,972.2675367,177.2613018,87.72844606,76.92053601,0.836485246,125.0139297,78.62511299
2014Q2,210.459287,106.0376923,91.58021135,974.7145188,176.1165582,88.73447055,76.63616012,0.86167377,123.0601371,77.39631262
2014Q3,212.3895796,101.6623077,94.83198865,977.9771615,177.1389321,84.78924745,79.09256768,0.843663636,120.5009951,75.78678936
2014Q4,201.2218108,75.63923077,93.37532315,976.3458401,168.1051051,63.19066899,78.00778877,0.782244444,96.69513322,60.8145492
2015Q1,178.8449514,52.01153846,90.45660236,974.7145188,149.6610472,43.52429997,75.69590156,0.751888525,69.1745342,43.50599635
2015Q2,194.2112708,60.88153846,92.46090488,978.7928222,161.8427257,50.73461539,77.05075407,0.731381967,83.24178226,52.35332217
2015Q3,198.0579202,50.48923077,92.96264176,982.0554649,164.4999337,41.93457705,77.21149649,0.651342424,77.51564905,48.75198053
2015Q4,184.3381988,41.1,91.17311288,977.1615008,153.8716183,34.30717863,76.1044348,0.665803175,61.72995499,38.82387106
2016Q1,168.9714695,30.57076923,89.1687569,978.7928222,140.8095579,25.47564103,74.30729742,0.663266667,46.09121906,28.98818809
2016Q2,177.9970656,42.66769231,90.34600855,982.8711256,147.7154071,35.40887329,74.97594071,0.690834921,61.76250076,38.8443401
2016Q3,175.3486495,43.36285714,90.14449155,986.1337684,145.0361038,35.86671393,74.56120062,0.722227273,60.04045926,37.76129513
2016Q4,182.6321229,48.22538462,91.10558126,990.2120718,150.438322,39.72436954,75.04578357,0.712112903,67.72154303,42.59216543
2017Q1,189.8161011,52.94923077,92.04262188,1.00E+03,154.8255311,43.18860585,75.07554803,0.711170968,74.45358876,46.82615645
2017Q2,185.7557893,49.44153846,91.513016,1.00E+03,151.5136944,40.32751914,74.64356933,0.704704918,70.15920735,44.12528764
2017Q3,183.4851409,50.61461538,90.41684447,1004.893964,148.9327443,41.08329172,73.39029585,0.730250769,69.31127979,43.59199987
2017Q4,194.3499283,59.23423077,91.83399065,1006,157.5781269,48.02687202,74.458624,0.69668871,85.02252146,53.47328394
2018Q1,199.9378215,63.86615385,92.56284629,1011,161.307043,51.52632127,74.67841209,0.727342623,87.80752266,55.22485702
2018Q2,206.2434027,72.19384615,93.3853134,1015,165.7385568,58.01545027,75.04505292,0.704254839,102.5109693,64.47230774
2018Q3,215.1826156,74.09923077,94.55129769,1024,171.4023434,59.02327084,75.31423463,0.668715385,110.8083237,69.69076959
