Level,Series ref: CPIQ,Description,Quarter,Weight,Index number
All groups,SE9A,All groups CPI,2006Q2,100,815.6606852
Group,SE901,Food,2006Q2,17.39,759.8784195
Group,SE902,Alcoholic beverages and tobacco,2006Q2,7.2,628.5355123
Group,SE903,Clothing and footwear,2006Q2,4.75,1002.004008
Group,SE904,Housing and household utilities,2006Q2,20.02,694.4444444
Group,SE905,Household contents and services,2006Q2,5.49,996.0159363
Group,SE906,Health,2006Q2,5.23,765.1109411
Group,SE907,Transport,2006Q2,17.24,933.7068161
Group,SE908,Communication,2006Q2,3.26,1414.427157
Group,SE909,Recreation and culture,2006Q2,10.21,1049.317943
Group,SE910,Education,2006Q2,2.08,695.8942241
Group,SE911,Miscellaneous goods and services,2006Q2,7.13,780.6401249
Subgroup,SE9011,Fruit and vegetables,2006Q2,2.2,654.8788474
Subgroup,SE9012,"Meat, poultry, and fish",2006Q2,2.82,776.3975155
Subgroup,SE9013,Grocery food,2006Q2,6.7,802.5682183
Subgroup,SE9014,Non-alcoholic beverages,2006Q2,1.62,778.8161994
Subgroup,SE9015,Restaurant meals and ready-to-eat food,2006Q2,4.03,742.9420505
Subgroup,SE9021,Alcoholic beverages,2006Q2,4.97,839.6305626
Subgroup,SE9022,Cigarettes and tobacco,2006Q2,2.23,366.703337
Subgroup,SE9031,Clothing,2006Q2,3.95,993.0486594
Subgroup,SE9032,Footwear,2006Q2,0.8,1041.666667
Subgroup,SE9041,Actual rentals for housing,2006Q2,6.87,789.8894155
Subgroup,SE9042,Home ownership,2006Q2,4.66,638.9776358
Subgroup,SE9043,Property maintenance,2006Q2,2.24,706.2146893
Subgroup,SE9044,Property rates and related services,2006Q2,2.44,569.1519636
Subgroup,SE9045,Household energy,2006Q2,3.82,662.6905235
Subgroup,SE9051,"Furniture, furnishings, and floor coverings",2006Q2,2.07,1016.260163
Subgroup,SE9052,Household textiles,2006Q2,0.53,972.7626459
Subgroup,SE9053,Household appliances,2006Q2,1.16,1052.631579
Subgroup,SE9054,"Glassware, tableware, and household utensils",2006Q2,0.35,999.000999
